"time","Abundance"
1,15
2,26.964
3,48.41887083264
4,86.7788655703187
5,154.997066585026
6,275.150865349053
7,483.158277835923
8,832.334192674041
9,1387.35671348618
10,2189.28070020229
11,3173.83326287961
12,4101.18506029353
13,4690.97808472438
14,4922.91648988558
15,4983.63259917207
16,4996.68365714483
17,4999.33497172818
18,4999.86692358362
19,4999.97338188323
20,4999.99467626328
